Price,Close,High,Low,Open,Volume
Ticker,LACOMERUBC.MX,LACOMERUBC.MX,LACOMERUBC.MX,LACOMERUBC.MX,LACOMERUBC.MX
Date,,,,,
2016-07-11,17.028728485107422,17.276905237676132,16.952366547441066,17.267359767891314,432388
2016-07-12,16.981000900268555,17.276903145313174,16.799640637545473,16.990544548285364,694980
2016-07-13,16.83782196044922,17.07645323231777,16.713734500146902,16.990545828796122,1037295
2016-07-14,16.6182804107666,16.990544585034755,16.484647490898443,16.89509353976435,1228023
2016-07-15,16.551464080810547,16.818731743257697,16.52282767463735,16.656462416166928,813508
2016-07-18,16.4751033782959,16.704189182902244,16.255563043124667,16.541919843729566,624100
2016-07-19,16.656461715698242,16.74236910999309,16.303286670195885,16.51328151146555,1008066
2016-07-20,16.704187393188477,16.780549319875718,16.40828515485191,16.713732861600874,574617
2016-07-21,16.51328468322754,16.799643326082865,16.46555915305779,16.799643326082865,378203
2016-07-22,16.41783332824707,16.618282736097406,16.341471388978526,16.522829856858667,557478
2016-07-25,16.28419303894043,16.513278778948326,16.23646752583481,16.417827752737086,731137
2016-07-26,16.46555519104004,16.541917113304446,16.284194942932633,16.322376814370752,1402943
2016-07-27,16.226926803588867,16.49419448871541,15.768755189610921,16.255563212192047,1639991
2016-07-28,16.217382431030273,16.41783366358714,16.14102049020201,16.41783366358714,774943
2016-07-29,15.931024551391602,16.331925169301797,15.854662615628333,16.226926824897742,1113248
2016-08-01,15.816479682922363,16.112381936700075,15.768754158981842,15.950112606445451,768360
2016-08-02,15.711480140686035,15.95011138331331,15.596938163767605,15.95011138331331,873289
2016-08-03,15.673301696777344,15.835571031238366,15.539668769790177,15.80693462376451,576278
2016-08-04,15.730570793151855,15.835569120608747,15.606483350294326,15.835569120608747,772968
2016-08-05,15.730570793151855,15.93102198005939,15.654208869713715,15.759207197170607,917323
2016-08-08,15.692391395568848,16.217379413503426,15.663754990356948,15.931022643832192,1510608
2016-08-09,15.663756370544434,15.988295042427756,15.577848967951077,15.9023876398344,2672581
2016-08-10,15.892840385437012,15.969202310208017,15.511030761581988,15.511030761581988,1546916
2016-08-11,16.12192726135254,16.169654605478037,15.74966308023377,15.98829433902519,2666006
2016-08-12,16.016931533813477,16.169655401307708,15.892842253591844,16.131473524128094,794367
2016-08-15,16.0837459564209,16.312831728579617,15.940567576398184,16.169653348556903,849869
2016-08-16,16.074201583862305,16.150563513119597,15.959657779670362,16.083747052595967,879758
2016-08-17,15.988293647766113,16.150562969552993,15.940568126316066,15.95965724252892,833645
2016-08-18,16.360557556152344,16.45601041816707,15.82602407772654,15.892840534953276,1786205
2016-08-19,16.198287963867188,16.436919204575606,16.141016975868496,16.436919204575606,828269
2016-08-22,16.23647117614746,16.36055863048661,16.03601997069249,16.207834769479028,1206373
2016-08-23,16.370101928710938,16.551462172338702,16.246014490825704,16.408283799205957,1179358
2016-08-24,16.503738403320312,16.561009394518628,16.236470743374873,16.436920122874966,1546919
2016-08-25,16.522829055786133,16.656463808486283,16.456012589742134,16.494194467831363,674224
2016-08-26,16.331926345825195,16.685099641442736,16.074204111328747,16.427377406946288,3439228
2016-08-29,16.51328468322754,16.694644974974683,16.408288152731632,16.46555915305779,1140105
2016-08-30,16.589645385742188,16.65646367185022,16.446466985306404,16.55146532857831,1113344
2016-08-31,16.34147071838379,16.646918462923495,16.20783596468854,16.646918462923495,11393849
2016-09-01,16.494192123413086,16.56100857996006,16.074200627188233,16.427373846254216,3248488
2016-09-02,16.408287048339844,16.49419445335305,16.236472238313436,16.49419445335305,462082
2016-09-05,16.4751033782959,16.51328343542422,16.40828691286223,16.484648847731016,358091
2016-09-06,16.436922073364258,16.580102299268518,16.41783295444093,16.5323749504297,1800780
2016-09-07,16.522829055786133,16.561010933875362,16.41783253226506,16.43692165069752,559317
2016-09-08,16.551464080810547,16.570555018259345,16.427374808005368,16.551464080810547,763122
2016-09-09,16.54191780090332,16.570554205672245,16.436919470695848,16.436919470695848,501356
2016-09-12,16.312833786010742,16.54191958706256,15.759209311649164,16.54191958706256,1247934
2016-09-13,16.0837459564209,16.36055724838323,15.854660184262178,16.160107880473806,933658
2016-09-14,16.064655303955078,16.265106496016333,15.806933122995714,16.08374624045842,952382
2016-09-15,16.150564193725586,16.389195460287365,15.845116463824443,16.04556585384254,1444928
2016-09-19,16.398740768432617,16.41783170651704,16.13147309708691,16.13147309708691,564955
2016-09-20,16.484647750854492,16.656462548029854,16.25556196149135,16.389194883466846,701102
2016-09-21,16.599191665649414,16.704190014047914,15.95011427666274,16.58964619573935,558718
2016-09-22,16.83782196044922,16.94282030266726,16.608736157928863,16.656463504669844,808107
2016-09-23,16.484647750854492,17.019181259368494,16.246016492691382,16.70418807141767,600538
2016-09-26,16.38919448852539,16.74236954316538,16.246016101200194,16.551463812990473,772568
2016-09-27,16.713733673095703,16.933273995404278,16.51328246792681,16.51328246792681,666033
2016-09-28,16.847370147705078,16.876006560369447,16.675555312943693,16.790099142988755,490588
2016-09-29,16.93327522277832,17.019182628275807,16.7996422900543,16.89509516511953,899106
2016-09-30,16.93327522277832,17.114635503341034,16.627827479059324,16.990546219572593,776661
2016-10-03,16.599191665649414,16.952366769872953,16.47510419804301,16.952366769872953,544612
2016-10-04,17.066905975341797,17.105087848735323,16.494192439334324,16.780549207338062,557893
2016-10-05,17.18145179748535,17.229177324233508,16.637372781862926,17.085998923376895,1089951
2016-10-06,17.20054054260254,17.324627988688416,17.047816691752885,17.229175126754406,1321893
2016-10-07,17.171905517578125,17.315083911677377,16.7900958597761,17.181450986599682,233160
2016-10-10,17.3532657623291,17.54416968064428,17.181450961417003,17.181450961417003,342253
